Date,Value
2026-02-24T16:38:27.241341,1100
2026-02-24T16:53:50.229264,1100
2026-02-24T17:08:04.355733,1100
2026-02-24T17:08:55.339691,1100
2026-02-24T17:09:29.319998,1100
2026-02-24T17:10:09.691215,1100
2026-02-24T17:10:48.652248,1100
2026-02-24T17:12:40.830262,1100
2026-02-24T17:13:32.735308,1100
2026-03-02T11:49:34.960058,1100
2026-03-02T16:23:23.637851,1100
2026-03-02T16:24:22.496485,1100
2026-03-02T16:25:10.648402,1100
2026-03-02T16:26:10.152196,1100
2026-03-02T16:27:05.671113,1100
2026-03-02T16:27:41.830110,1100
2026-03-02T16:28:30.037735,1100
2026-03-02T16:29:08.773676,1100
2026-03-02T16:29:59.152677,1100
2026-03-02T16:35:05.807452,1100
2026-03-02T16:35:55.961371,1100
2026-03-02T16:36:31.417009,1100
2026-03-02T16:45:40.454838,1100
2026-03-02T16:46:24.306649,1100
2026-03-02T17:38:35.183361,1100
2026-03-02T17:56:41.258018,1140
2026-03-03T10:20:33.563545,1140
2026-03-03T10:21:09.382679,1140
2026-03-03T11:57:28.494353,1100
2026-03-03T11:59:39.193292,1100
2026-03-03T12:00:19.927218,1100
2026-03-03T12:01:20.851228,1100
2026-03-04T17:56:10.768119,1100
2026-03-04T18:28:57.100463,1140
2026-03-04T18:30:14.106317,1140
2026-03-04T18:31:16.351924,1100
2026-03-09T16:58:37.421729,1100
2026-03-09T18:44:24.092634,1100
2026-03-09T18:45:24.480996,1100
2026-03-09T18:46:10.334229,1100
2026-03-11T12:54:56.760548,1100
2026-03-11T12:55:52.429729,1100
2026-03-11T15:28:15.621976,1100
2026-03-11T15:29:02.674598,1100
2026-03-11T15:33:01.746522,1120
2026-03-11T16:19:37.180043,1120
2026-03-11T16:22:15.951928,1120
2026-03-17T00:40:41.598567,1120
2026-03-17T15:05:50.072570,1120
2026-03-17T15:08:34.944504,1120
2026-03-17T15:09:07.976967,1120
2026-03-17T15:10:18.701365,1120
2026-03-17T15:10:39.729347,1120
2026-03-17T15:11:19.292352,1120
2026-03-17T15:49:54.032752,1120
2026-03-17T15:53:09.063137,1120
2026-03-17T16:01:44.529551,1120
2026-03-17T16:02:20.616019,1120
2026-03-17T16:10:02.784403,1120
2026-03-17T16:10:40.606940,1120
2026-03-17T16:17:14.845043,1120
2026-03-17T16:17:54.658197,1120
2026-03-17T16:18:34.875558,1120
2026-03-17T16:19:52.098543,1120
2026-03-17T16:21:35.438720,1120
2026-03-17T16:21:59.127255,1120
2026-03-17T16:22:53.852169,1120
2026-03-17T16:23:39.673404,1120
2026-03-17T16:24:37.512195,1120
2026-03-17T16:25:28.781017,1120
